advertising,analytics,automotive,biotech,cleantech,consulting,design,ecommerce,education,enterprise,fashion,finance,games_video,hardware,health,hospitality,legal,manufacturing,medical,messaging,mobile,music,nanotech,network_hosting,news,nonprofit,other,photo_video,public_relations,real_estate,search,security,semiconductor,social,software,sports,transportation,travel,web,Total companies,state
1,0,0,1,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,7,22,AL
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,11,AR
11,0,0,0,6,8,0,9,1,3,0,0,5,3,0,0,0,1,0,0,5,0,0,1,1,0,9,0,5,0,5,2,1,0,26,0,0,0,18,120,AZ
227,27,5,100,79,96,1,116,6,198,2,18,270,140,8,2,11,7,15,10,246,14,2,142,15,2,138,6,95,1,72,57,79,18,566,4,4,4,743,3546,CA
10,2,0,7,15,11,0,9,1,15,0,1,6,2,0,0,0,0,0,1,12,0,0,8,1,0,8,1,8,1,4,4,1,0,41,0,0,1,31,201,CO
3,0,0,2,2,5,0,4,0,3,0,0,2,3,1,0,0,1,0,0,2,0,0,2,0,0,5,0,3,1,1,1,0,0,8,0,0,0,10,59,CT
7,1,0,1,0,5,0,2,2,2,0,0,0,1,1,0,2,0,0,0,1,0,0,2,2,0,6,0,3,0,3,1,0,1,7,0,0,0,20,70,DC
2,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,4,0,0,0,4,25,DE
23,1,0,3,5,14,0,17,1,16,0,2,17,7,0,0,2,1,0,2,10,1,0,18,0,0,29,0,10,0,8,2,3,2,50,1,0,0,65,310,FL
7,0,0,7,7,10,0,6,1,12,0,1,7,3,0,0,1,0,0,0,7,1,0,9,0,0,17,0,4,0,6,4,0,1,41,0,1,0,31,184,GA
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,3,0,0,0,2,12,HI
1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,3,17,IA
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,6,0,0,0,0,15,ID
23,3,0,6,5,15,0,14,1,19,0,0,12,0,0,2,2,0,0,2,6,0,0,13,1,1,15,0,16,0,4,1,0,0,48,0,0,1,61,271,IL
3,0,0,3,1,0,0,0,1,5,1,0,0,3,0,0,0,0,0,0,2,0,0,3,0,0,3,0,1,0,0,0,0,0,6,0,0,0,9,41,IN
0,0,0,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,1,1,0,0,4,0,0,0,4,22,KS
1,0,0,3,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,24,KY
1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,10,LA
29,5,1,34,15,30,0,15,0,53,0,3,20,15,4,0,2,4,1,1,25,3,2,19,2,0,24,0,17,0,11,17,4,1,135,1,1,3,80,577,MA
11,1,0,11,3,6,0,2,1,2,0,0,5,3,0,0,1,0,0,0,6,0,1,2,2,0,9,0,2,0,4,6,2,0,33,0,0,0,16,129,MD
0,0,0,3,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,16,ME
6,0,1,5,3,4,0,7,0,5,0,1,3,0,1,0,1,0,1,0,4,0,0,1,0,0,5,1,5,0,2,0,0,0,22,0,0,0,10,88,MI
8,1,0,3,1,2,0,3,0,3,0,0,4,2,1,0,0,0,0,0,5,0,0,3,0,0,5,0,4,0,2,0,0,0,26,0,0,0,13,86,MN
2,0,0,2,2,3,0,2,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,1,1,0,1,12,0,0,0,9,51,MO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,MS
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,MT
8,0,0,9,2,6,0,8,0,13,0,0,3,3,0,0,0,0,0,1,6,0,0,3,0,0,6,1,1,0,3,0,1,0,27,1,0,0,24,126,NC
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,ND
2,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,6,26,NE
1,0,0,0,3,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,7,0,1,0,0,2,0,0,7,0,0,0,2,35,NH
11,0,0,12,7,8,0,8,1,8,0,0,12,10,1,0,3,1,2,1,6,0,0,7,1,0,11,0,3,0,1,0,3,0,40,0,0,0,28,185,NJ
1,0,0,0,4,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,16,NM
5,0,0,1,4,1,0,3,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,8,0,0,1,14,48,NV
110,12,0,11,12,46,1,42,3,47,3,9,85,5,2,1,3,0,0,4,48,7,0,34,12,0,54,4,29,1,16,8,0,10,134,1,0,1,235,990,NY
7,0,0,2,6,3,0,5,0,8,0,0,4,0,0,0,0,0,1,0,2,0,0,2,1,0,10,0,4,0,1,2,0,0,19,0,0,0,14,91,OH
0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,5,19,OK
6,1,0,1,0,4,0,2,1,5,1,0,3,6,0,0,0,0,0,0,4,0,0,4,0,0,4,0,2,0,1,1,4,0,27,0,0,1,20,98,OR
14,1,0,11,4,11,0,6,1,12,0,0,15,9,0,0,2,0,3,1,6,0,0,7,0,0,20,2,8,0,2,1,2,0,35,0,0,0,34,207,PA
0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,11,RI
6,0,0,1,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,6,0,0,0,2,29,SC
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SD
1,0,0,2,1,3,0,1,1,4,0,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,10,0,0,0,13,49,TN
25,2,0,7,10,29,0,15,4,34,0,1,20,10,0,1,3,1,0,1,25,1,0,17,0,0,28,0,15,0,10,7,8,0,114,0,2,2,60,452,TX
6,2,0,3,2,0,0,2,0,4,0,0,0,3,0,0,2,0,0,1,2,0,0,4,0,0,4,0,4,0,0,0,0,0,17,0,0,0,13,69,UT
7,0,0,2,2,21,0,5,3,15,0,1,6,4,0,0,1,0,0,0,11,0,0,5,0,0,20,0,8,0,6,5,1,0,67,1,1,0,37,229,VA
3,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,15,VT
19,2,0,9,10,9,1,16,2,23,0,1,26,7,1,1,1,0,0,1,30,1,0,15,2,0,19,1,7,3,9,1,1,1,61,0,0,2,105,387,WA
4,0,0,0,2,2,0,3,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,0,11,39,WI
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,WV
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,WY
616,62,7,271,221,374,3,336,32,530,7,39,550,253,21,7,39,16,24,27,491,28,5,341,40,3,505,17,265,7,178,126,111,35,1646,9,9,16,1780,9047,Total companies
